H,S,V
242,2,135
242,3,133
243,4,134
243,4,133
243,4,131
244,6,130
245,7,131
246,8,130
246,8,130
245,7,131
244,6,130
243,4,131
243,4,133
243,4,134
243,4,134
242,2,135
245,13,112
240,7,125
244,8,145
239,5,138
244,14,136
241,13,134
239,12,143
239,12,143
241,17,139
241,18,135
240,18,137
238,19,137
239,23,132
239,26,132
240,26,147
240,25,163
236,35,131
236,35,131
237,35,134
237,35,135
236,34,134
238,33,136
238,33,136
238,33,134
239,34,135
239,35,134
239,35,134
242,2,135
243,4,134
243,4,134
243,4,133
243,4,131
243,5,129
244,6,130
245,7,129
245,7,129
245,7,131
244,6,130
243,4,131
243,4,133
243,4,134
242,3,133
242,2,135
240,0,165
244,3,160
244,7,149
240,7,135
242,12,134
240,10,132
241,13,136
242,16,141
241,16,138
240,17,136
240,17,134
240,18,137
238,21,138
238,24,138
239,27,138
240,29,136
237,33,128
238,34,131
238,34,133
238,34,133
237,32,133
237,32,135
237,32,135
238,32,133
240,34,135
240,34,135
239,33,133
242,3,133
243,4,134
243,4,133
243,4,133
243,4,131
243,5,129
244,6,130
245,7,129
245,7,129
244,6,130
244,6,130
243,4,131
243,4,133
242,3,132
242,3,133
241,2,132
245,0,189
249,3,174
242,3,149
239,4,135
240,7,134
238,8,130
239,10,129
241,13,136
241,12,139
239,14,136
240,16,130
240,17,132
240,18,141
239,21,144
238,25,131
239,29,116
237,31,129
237,31,131
237,31,131
238,29,131
238,29,133
237,27,134
237,27,134
237,27,134
235,26,130
235,26,130
234,25,129
242,3,133
242,3,133
243,4,133
243,4,131
243,4,131
243,5,129
244,6,130
244,6,128
244,6,128
244,6,130
243,5,129
243,4,131
243,4,131
242,3,132
241,2,132
241,2,132
246,8,122
243,2,132
246,4,148
244,5,151
243,7,144
243,10,137
242,9,136
243,9,142
240,8,144
240,9,137
240,13,128
239,15,127
240,16,138
240,17,142
239,21,134
239,24,125
238,27,132
238,27,132
237,26,133
236,24,134
236,24,135
236,22,134
236,22,136
236,22,136
237,23,137
237,23,135
236,22,134
241,2,132
242,3,132
242,3,132
243,4,131
243,4,131
243,5,129
244,6,128
244,6,128
244,6,128
243,5,127
243,5,129
243,4,131
243,4,131
242,3,132
241,2,131
241,2,132
233,8,26
223,0,67
245,2,142
