H,S,V
179,94,151
176,98,150
175,102,148
176,104,152
174,107,158
164,114,163
155,122,165
150,129,162
151,133,157
146,135,151
135,139,148
129,149,156
118,151,158
115,156,160
106,158,154
103,164,156
85,177,152
89,176,157
92,169,159
93,158,152
104,159,154
102,155,145
101,159,147
107,159,155
121,151,162
141,138,165
150,137,163
135,152,160
118,182,166
103,193,167
105,184,163
112,168,159
107,173,159
102,181,162
96,186,161
97,187,161
99,188,160
98,193,163
94,198,165
92,189,158
101,179,157
112,173,157
114,170,157
112,168,157
116,166,157
126,167,161
133,165,162
130,160,158
107,176,158
111,182,164
172,99,155
174,100,153
178,100,152
180,102,154
175,107,158
164,116,164
151,126,166
142,133,162
137,140,157
131,150,156
125,161,161
123,169,169
118,166,168
117,167,168
114,173,169
115,183,172
101,200,172
106,198,177
104,186,172
92,172,159
94,179,160
91,183,158
92,184,159
99,176,160
115,163,163
131,153,166
139,151,165
129,159,159
119,176,161
108,181,161
108,181,162
109,172,161
110,176,162
105,179,162
98,182,159
101,183,160
103,181,159
103,178,155
105,179,156
106,173,155
111,169,154
114,170,157
112,172,160
113,169,158
119,162,155
127,162,158
131,167,163
126,171,164
110,174,158
115,179,163
165,105,157
171,102,156
178,101,153
180,102,154
172,108,160
157,120,164
141,131,165
129,142,161
125,154,162
120,166,163
114,180,168
109,181,170
109,176,169
108,170,165
108,180,169
108,191,175
93,202,171
95,195,169
92,185,164
86,186,162
85,205,170
78,213,170
76,209,166
87,196,164
102,181,162
112,169,160
121,168,160
122,165,156
121,167,154
117,168,153
113,174,159
108,176,161
115,171,160
110,172,159
107,174,157
112,179,162
111,175,158
110,168,153
116,164,152
121,158,150
119,160,152
113,169,158
109,175,161
112,169,160
120,156,154
128,154,155
127,166,161
119,179,167
114,172,160
119,177,165
168,105,158
168,106,155
170,107,154
171,108,153
164,113,156
149,125,159
131,142,164
117,154,162
115,166,161
112,174,159
109,182,163
96,179,159
94,179,160
89,176,159
90,184,160
88,188,160
73,194,159
76,189,159
79,186,158
77,195,161
73,212,170
69,221,170
71,219,167
81,214,167
88,203,162
94,189,157
107,181,156
117,170,152
124,165,151
122,162,153
120,167,157
113,169,158
123,158,154
120,159,154
117,164,156
118,172,159
115,171,158
113,167,154
121,164,155
125,161,157
121,164,157
111,171,161
106,177,163
112,169,160
123,155,154
130,151,154
127,163,159
116,176,164
117,170,160
119,175,164
176,103,156
171,109,156
165,115,153
162,116,152
154,121,152
139,134,156
120,155,161
107,170,161
105,176,158
106,178,154
105,181,155
91,181,153
87,192,161
84,198,165
82,200,165
76,195,157
69,199,165
83,202,170
88,203,170
76,200,163
65,200,157
69,206,162
76,214,165
80,221,169
83,225,169
86,210,158
103,191,153
116,171,148
124,166,154
122,162,154
124,160,156
125,155,153
133,148,151
130,151,152
