L,A,B
127,129,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
126,130,238
126,130,238
124,131,238
124,131,238
123,131,238
123,132,237
121,133,235
121,133,233
121,133,231
121,134,230
121,134,228
120,136,224
119,137,223
117,138,221
116,139,219
116,139,219
115,138,214
115,138,214
115,138,214
115,138,214
115,138,214
115,138,216
115,138,216
115,138,216
116,139,217
116,139,217
116,139,217
127,129,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
127,129,240
126,130,238
126,130,238
124,131,238
123,131,238
123,132,237
123,132,237
123,132,235
123,132,233
123,133,231
121,134,228
120,135,226
120,136,224
119,137,223
117,138,221
116,138,221
115,138,216
115,138,216
115,138,216
115,138,216
115,138,216
115,138,216
115,138,218
115,138,218
116,139,219
116,139,219
117,138,219
127,129,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
127,129,240
127,129,240
126,130,240
124,130,240
124,130,240
124,131,238
123,132,237
123,132,237
123,132,235
123,132,233
123,133,231
121,134,228
121,134,226
120,136,224
119,136,224
117,137,223
116,137,220
116,137,220
116,137,220
116,137,220
116,137,220
116,137,220
116,137,220
118,136,220
118,136,222
118,136,222
118,136,222
127,129,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
127,129,242
127,129,242
127,129,240
126,130,240
126,130,240
124,130,240
124,131,238
124,131,238
124,131,237
124,131,235
124,132,233
124,132,231
123,133,230
121,134,228
120,135,228
120,135,228
119,136,224
119,136,224
119,136,224
119,136,224
119,135,223
119,135,223
119,135,223
119,135,223
119,134,225
119,134,225
119,134,225
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
128,128,242
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,238
126,130,238
126,130,237
126,131,235
124,132,233
123,132,233
121,133,231
121,133,231
120,135,228
120,135,228
121,134,228
121,134,228
121,134,228
121,134,228
120,133,229
120,133,229
121,134,230
123,133,230
123,133,230
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
128,128,242
128,128,242
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,240
127,129,240
127,129,238
126,130,237
126,130,237
124,131,235
123,132,235
123,132,235
121,133,231
121,133,231
121,133,231
123,133,231
123,133,231
123,133,231
123,132,233
123,132,233
124,132,233
124,132,233
124,132,233
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
124,130,242
124,130,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
127,129,240
127,129,240
127,129,240
126,130,238
126,130,238
124,131,238
124,131,237
123,132,235
123,132,235
123,132,235
123,132,235
123,132,235
124,131,235
124,131,235
124,131,235
124,131,235
126,130,237
126,130,237
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
127,129,242
127,129,242
127,129,240
127,129,240
127,129,240
126,130,240
124,130,240
124,131,238
123,132,237
123,132,237
123,132,237
123,132,237
124,131,237
124,131,237
124,131,237
124,131,237
126,130,238
126,130,238
126,130,238
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,242
126,129,242
126,129,242
127,129,242
127,129,242
127,129,240
127,129,240
127,129,240
126,130,240
124,130,240
124,130,240
124,132,239
123,131,238
123,131,238
124,131,238
124,131,238
124,131,238
124,131,238
126,130,238
126,130,238
126,130,238
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
124,130,240
123,131,238
123,131,238
123,131,238
124,131,238
124,131,238
124,131,238
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
124,130,240
124,131,238
124,131,238
124,131,238
124,131,238
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
127,129,240
127,129,240
127,129,240
126,130,240
126,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
124,130,240
126,130,240
126,130,240
126,130,240
126,130,240
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,129,242
126,130,240
126,130,240
124,130,240
124,130,240
