L,A,B
107,164,129
106,164,140
106,164,150
106,165,147
107,167,133
110,168,120
113,167,115
116,166,117
117,166,111
117,166,100
116,167,88
116,168,85
118,167,86
119,166,86
121,165,78
121,165,70
118,167,60
117,165,65
116,163,69
116,163,69
114,165,62
114,166,56
113,166,58
112,166,70
114,167,87
116,167,98
117,169,97
116,170,84
114,168,70
112,168,61
114,167,63
115,167,67
114,168,57
115,166,61
115,166,63
117,166,61
118,166,57
118,165,61
117,162,67
115,161,73
115,164,75
115,167,69
115,168,64
114,169,68
114,167,75
115,167,84
115,167,85
116,168,85
121,166,65
121,166,65
108,166,128
108,164,139
107,164,147
106,165,143
107,167,129
109,167,116
113,166,110
116,165,109
116,164,104
117,164,92
114,166,83
114,167,79
116,166,79
118,164,76
119,162,70
120,162,64
119,163,52
119,162,57
119,161,63
117,161,63
116,161,56
114,162,50
114,164,53
114,164,65
116,166,81
115,166,91
115,167,92
115,169,81
114,170,71
113,168,66
112,167,66
112,166,68
112,167,66
114,166,65
114,167,63
115,166,61
117,166,59
118,166,66
118,165,73
116,164,78
117,166,75
115,167,67
113,168,64
114,168,70
115,169,81
115,168,86
115,169,85
115,168,80
121,167,68
121,167,68
110,166,129
109,166,134
109,165,140
107,166,136
109,167,126
110,168,110
114,166,102
115,165,96
118,164,91
117,164,83
116,165,74
116,166,71
118,165,69
118,164,66
120,162,62
120,161,57
123,160,46
124,160,50
124,160,54
122,159,53
120,158,45
119,160,42
117,162,45
116,164,55
118,165,71
115,165,80
114,166,83
114,169,78
114,170,73
112,170,70
111,168,73
110,167,73
111,165,77
112,167,73
112,167,66
114,167,61
115,167,66
117,167,72
118,166,80
116,166,79
116,167,72
113,168,64
111,168,65
113,168,74
115,169,85
116,169,89
115,169,83
113,168,74
120,168,69
120,168,69
111,165,129
110,166,131
110,165,134
110,166,129
111,167,120
113,167,105
115,165,92
117,164,84
119,164,79
119,164,73
118,166,67
118,167,62
119,167,58
122,165,57
124,163,54
124,162,53
131,160,44
130,158,45
129,159,47
128,158,44
124,158,38
122,158,36
120,160,38
118,161,46
118,163,58
117,164,68
115,166,73
114,169,75
113,170,73
111,171,75
110,169,79
109,167,82
111,168,89
111,169,82
112,169,74
112,168,67
112,168,71
