R,G,B
241,239,240
241,239,240
241,239,240
243,239,240
243,239,240
244,238,240
245,239,241
245,239,241
245,239,241
245,239,241
245,239,241
244,240,241
244,240,241
242,240,241
242,240,241
242,240,241
244,239,243
244,238,242
243,237,241
244,235,240
244,233,239
242,231,237
241,228,235
240,227,234
241,226,233
239,223,233
236,219,229
236,216,227
236,214,226
237,211,224
236,208,222
234,206,220
239,203,217
238,202,216
237,201,215
236,202,216
236,202,216
236,202,216
237,203,217
237,205,218
239,207,222
239,207,222
240,208,223
241,239,240
241,239,240
241,239,240
243,239,240
243,239,240
244,238,240
245,239,241
245,239,241
245,239,241
245,239,241
245,239,241
244,240,241
244,240,241
241,239,240
241,239,240
241,239,240
243,238,242
243,238,242
243,237,241
244,235,240
243,234,239
243,232,238
242,231,237
242,229,236
241,228,235
239,226,233
238,222,232
237,220,230
239,217,229
238,214,227
238,212,225
236,210,223
240,206,220
239,205,219
237,205,218
237,205,218
237,205,218
237,205,218
237,207,219
238,208,220
239,209,221
239,208,223
239,208,223
241,239,240
241,239,240
241,239,240
243,239,240
243,239,240
244,238,240
244,238,240
245,239,241
245,239,241
245,239,241
245,239,241
244,240,241
243,239,240
241,239,240
240,238,239
239,237,238
240,238,241
242,237,241
241,236,240
242,236,240
243,234,239
242,233,238
242,233,238
243,232,238
241,230,236
240,229,235
239,226,233
239,224,231
239,222,232
241,219,231
239,215,228
237,213,226
241,211,223
240,210,222
237,209,221
237,209,221
237,209,221
237,209,221
236,210,221
237,211,222
238,212,223
238,212,223
238,212,223
241,239,240
241,239,240
241,239,240
243,239,240
243,239,240
244,238,240
244,238,240
244,238,240
244,238,240
244,238,240
244,238,240
243,239,240
243,239,240
240,238,239
239,237,238
239,237,238
240,238,241
240,238,241
242,237,241
241,236,240
241,235,239
241,235,239
244,235,240
244,235,240
242,233,238
241,232,237
240,229,235
240,227,234
241,226,233
240,223,231
240,220,229
238,218,227
239,216,226
239,216,226
238,215,225
238,215,225
237,216,225
236,215,224
237,216,225
236,216,225
238,218,227
238,218,227
238,218,227
241,239,240
241,239,240
243,239,240
243,239,240
243,239,240
243,239,240
243,237,239
243,237,239
243,237,239
243,237,239
242,238,239
243,239,240
243,239,240
242,238,239
240,238,239
239,237,238
240,240,242
241,239,242
241,239,242
242,237,241
241,236,240
242,236,240
242,236,240
243,237,241
242,236,240
241,235,239
240,234,238
241,232,237
241,230,236
240,227,234
240,225,232
239,222,230
240,220,229
239,219,228
237,220,228
237,220,228
237,220,228
236,221,228
237,222,229
237,222,229
236,223,230
236,223,230
236,223,230
240,238,239
240,238,239
242,238,239
242,238,239
242,238,239
242,238,239
243,237,239
243,237,239
242,236,238
243,237,239
242,238,239
242,238,239
242,238,239
242,238,239
240,238,239
240,238,239
240,240,240
240,240,240
241,239,240
241,239,240
242,238,239
242,237,241
242,237,241
242,237,241
241,236,240
241,236,240
240,235,239
240,234,238
241,232,237
240,229,235
240,227,234
238,225,232
240,225,232
240,225,232
240,225,232
238,225,232
238,225,232
237,226,232
237,226,232
238,227,233
237,228,233
237,228,233
237,228,231
240,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
243,237,239
243,237,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
243,239,240
241,239,240
240,240,240
241,239,240
241,239,240
241,239,240
243,239,240
243,239,240
243,239,240
240,238,241
240,238,241
239,237,240
238,236,239
239,234,238
240,234,238
241,232,237
241,230,236
240,229,235
242,229,236
240,229,235
240,229,235
241,230,236
241,230,236
239,230,235
240,231,236
238,232,236
238,232,234
238,232,234
237,233,234
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
243,239,240
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
243,239,240
243,239,240
241,239,240
241,239,240
241,239,240
243,239,240
244,240,241
244,240,241
243,239,240
240,238,239
240,238,239
240,238,241
239,237,240
241,236,240
240,235,239
241,235,239
242,233,238
242,233,238
243,232,238
243,232,238
243,232,238
242,233,238
242,233,238
239,233,237
239,233,237
240,234,238
239,235,236
239,235,236
239,235,236
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
242,238,239
243,239,240
243,239,240
241,239,240
243,239,240
243,239,240
243,239,240
243,239,240
243,239,240
243,239,240
242,238,239
241,239,240
241,239,240
240,238,241
240,238,241
241,236,240
242,236,240
244,235,240
244,235,240
245,234,242
245,234,240
244,235,240
