R,G,B
164,108,173
165,106,172
168,107,176
166,103,174
161,99,172
146,86,160
139,83,158
129,77,152
127,76,153
124,73,150
121,68,146
111,58,136
110,59,136
102,56,129
94,52,124
84,44,115
84,38,111
83,37,109
87,40,108
92,46,111
85,39,103
91,42,107
94,43,110
95,44,113
109,55,130
122,68,146
118,63,144
109,54,137
85,32,112
73,22,99
77,29,103
83,35,109
83,33,104
79,29,100
78,28,101
75,28,100
73,26,98
68,21,93
67,20,92
75,28,100
84,34,107
86,34,108
87,35,109
97,43,119
96,42,120
95,42,122
93,40,122
97,43,127
82,41,119
68,27,105
160,104,169
165,106,174
171,110,179
170,109,179
163,101,174
144,86,160
133,79,154
122,71,146
112,64,140
102,54,130
93,42,119
86,35,112
85,37,113
81,35,108
71,29,101
61,21,92
56,15,85
53,12,82
59,18,84
71,31,94
67,25,88
68,24,87
71,25,89
78,28,97
93,41,115
107,53,131
106,51,132
105,50,131
91,38,118
82,29,107
83,32,107
86,36,109
81,29,101
81,29,101
81,31,104
79,29,102
78,31,103
80,33,105
81,34,106
88,38,111
91,39,113
90,38,112
87,33,108
95,41,117
102,48,126
104,51,131
95,42,124
90,37,119
84,43,121
71,30,108
157,102,169
162,105,173
169,109,179
168,108,180
159,99,173
138,82,157
124,72,147
110,62,136
96,50,125
85,39,114
73,27,102
74,26,102
75,29,102
73,31,103
61,24,94
54,19,87
47,15,82
49,17,82
53,21,84
54,23,83
45,11,71
45,9,70
54,14,76
60,18,84
75,28,100
90,39,116
94,41,121
101,46,127
98,43,124
93,39,117
90,36,112
90,36,111
88,34,109
89,35,110
87,35,109
81,29,103
83,32,107
92,41,116
94,44,117
97,45,119
97,45,119
93,39,114
86,32,107
95,41,117
110,56,134
112,59,139
96,43,125
86,33,115
87,44,123
75,32,111
155,102,170
157,102,170
157,100,171
155,97,171
144,88,161
127,73,148
110,62,136
95,52,124
83,41,115
77,35,109
72,28,103
78,35,107
77,35,107
75,35,105
64,29,97
59,27,94
52,27,92
52,28,90
51,25,86
46,21,78
38,11,66
39,8,65
45,11,71
50,11,76
61,18,87
76,28,102
84,33,110
97,42,123
102,45,124
99,42,121
97,39,116
100,42,118
105,49,124
105,49,124
100,43,120
89,35,111
89,37,112
95,43,118
95,43,118
94,40,115
94,40,115
90,36,111
87,31,106
97,40,117
111,57,133
110,56,134
96,43,123
91,38,120
90,43,121
81,34,112
155,104,173
151,98,168
146,90,163
144,88,161
133,79,154
115,65,138
96,50,123
79,37,109
71,31,102
71,31,102
69,29,100
73,33,104
66,26,96
58,23,91
51,19,86
52,22,86
46,22,84
38,14,74
36,12,70
41,16,73
44,19,74
44,15,71
42,11,70
43,7,69
48,7,75
63,17,89
77,26,103
94,40,118
100,43,122
102,44,121
104,43,121
112,50,127
120,59,137
118,57,135
111,53,130
101,44,121
99,42,119
98,41,118
92,35,112
89,33,108
89,33,108
95,39,114
95,39,114
97,41,116
105,48,125
101,47,125
97,42,123
98,45,125
92,43,122
85,36,115
152,100,172
146,94,166
140,86,161
141,87,162
128,76,151
106,58,132
81,39,111
64,27,97
58,22,92
59,23,93
60,23,93
57,20,89
47,12,80
41,9,74
41,11,75
42,16,79
46,18,79
42,14,75
42,14,73
45,17,75
53,24,80
51,22,78
49,18,77
47,13,74
44,5,72
54,11,82
70,22,96
91,39,114
99,42,119
104,46,123
110,48,125
116,54,131
123,58,138
118,55,134
114,51,130
106,45,125
101,42,122
98,39,119
91,33,110
91,33,110
99,41,117
114,56,132
120,62,138
109,51,127
101,44,121
96,39,118
96,42,120
101,46,127
96,45,124
91,40,119
147,95,169
143,91,165
140,86,162
142,88,164
124,72,147
98,52,125
75,33,105
61,25,95
56,23,92
56,23,92
56,21,89
50,15,83
48,13,79
45,13,78
46,17,81
45,19,80
55,20,84
59,25,86
61,27,88
56,22,82
57,24,81
55,22,79
57,23,83
57,21,83
50,11,76
49,8,76
62,16,88
85,34,109
94,40,116
105,47,124
111,50,127
115,53,130
120,53,133
115,50,132
113,48,130
108,45,126
107,44,125
103,42,122
98,37,117
99,38,116
113,52,129
131,70,147
142,81,158
129,68,145
109,51,127
91,34,111
94,37,116
99,45,123
99,48,127
96,45,124
143,91,166
142,88,164
139,85,161
141,87,163
118,67,142
92,46,119
72,32,103
64,28,98
64,32,99
62,30,97
59,27,94
54,19,85
57,22,88
55,23,86
53,25,86
46,20,81
57,15,79
59,19,82
64,24,87
62,22,84
61,23,84
53,15,76
55,19,80
61,25,87
50,14,78
42,3,70
51,8,79
75,27,101
88,36,111
104,47,124
109,51,127
111,50,127
114,45,128
115,47,130
118,50,133
117,52,134
117,52,134
112,49,130
104,41,122
102,39,118
116,54,131
130,68,145
148,86,163
141,79,156
118,57,134
89,31,108
88,31,108
97,40,117
102,51,130
99,48,127
134,80,158
138,84,162
136,79,158
139,85,163
111,59,134
82,36,109
68,28,99
66,31,99
62,31,98
64,33,100
67,35,100
63,28,94
68,33,97
66,34,97
60,30,92
53,25,86
59,17,81
62,20,84
61,19,83
60,20,82
58,18,80
58,20,81
58,22,83
53,19,80
53,18,82
46,9,76
45,5,75
62,19,90
82,34,108
99,47,122
102,45,122
102,44,121
113,44,127
118,49,132
117,49,132
119,51,134
122,57,141
122,57,139
116,51,133
113,48,128
114,50,128
122,55,134
133,69,145
145,81,157
127,65,142
106,45,122
92,34,111
97,39,116
97,46,125
101,50,129
135,78,157
139,82,161
136,79,158
137,80,159
107,55,130
75,29,102
60,20,90
56,21,89
50,19,86
50,18,83
52,17,83
53,18,84
59,23,87
62,27,91
54,22,85
50,20,82
55,15,78
54,14,77
55,15,78
59,20,83
60,22,83
57,21,83
58,24,85
54,23,83
53,21,84
45,13,78
43,8,76
60,20,90
80,34,107
97,46,121
100,46,122
103,45,122
115,46,129
121,52,135
121,53,136
121,53,136
124,56,141
124,56,139
120,52,135
117,50,130
119,52,131
122,55,134
128,61,138
134,67,144
117,53,129
102,40,117
93,31,108
94,33,111
93,42,121
98,47,126
130,73,152
134,75,155
132,73,153
127,70,147
98,46,121
66,20,93
54,14,84
50,15,83
45,13,78
42,10,75
41,6,72
46,10,74
52,16,80
59,23,87
52,17,81
49,17,80
49,15,76
46,12,73
47,13,74
54,20,81
55,24,84
53,22,82
54,24,84
52,24,85
50,22,83
45,15,79
42,10,77
58,21,90
75,32,104
92,41,116
96,42,120
100,43,122
113,46,126
122,54,137
124,56,139
122,54,137
123,55,138
123,55,138
122,54,137
124,55,136
124,55,135
124,55,135
125,57,134
125,57,134
112,45,122
101,37,115
95,31,109
94,32,109
91,38,118
98,45,125
124,65,145
125,66,146
123,64,144
113,56,133
88,36,111
61,15,87
55,15,85
55,20,86
54,22,87
50,18,83
47,12,76
50,11,76
55,16,81
62,23,88
55,19,83
52,17,81
47,19,78
43,15,74
42,12,72
47,17,79
48,18,80
46,18,79
49,21,82
47,21,82
44,18,81
42,13,77
41,10,77
57,20,90
72,29,101
87,36,113
92,38,116
96,39,120
111,44,124
119,54,134
121,56,138
118,53,135
117,52,134
121,53,136
124,56,139
130,61,142
132,61,141
132,61,141
131,60,138
127,56,134
115,47,124
108,40,117
103,36,115
102,35,114
93,38,119
100,45,126
121,62,142
119,60,140
116,58,135
108,50,127
84,32,106
62,16,88
58,19,86
60,25,91
63,31,94
60,28,91
59,23,87
53,14,79
59,18,84
62,23,88
60,21,88
55,18,85
46,21,79
43,17,78
40,12,73
41,11,73
39,9,71
41,11,75
45,16,80
43,17,80
39,13,76
40,11,75
43,12,79
59,23,93
74,32,106
89,38,115
